Time,Source,Sequence #,Tree depth, Light Sensor
22:21:06,27,3,2,0
22:21:06,28,3,3,2
22:22:55,63,14,2,0
22:25:22,63,29,2,2
22:26:01,63,33,2,2
22:28:18,63,47,2,1
22:28:57,63,51,2,2
22:29:45,63,56,2,2
22:29:55,63,57,2,3
22:30:05,63,58,2,2
22:21:05,65,3,1,2
22:22:53,65,14,1,1
22:23:51,65,20,1,3
22:24:01,65,21,1,4
22:24:50,65,26,1,3
22:26:08,65,34,1,2
22:27:26,65,42,1,8
22:28:44,65,50,1,3
22:29:33,65,55,1,2
22:30:12,65,59,1,5
22:30:32,65,61,1,3
22:21:03,81,2,2,3
22:21:42,81,6,3,0
22:22:02,81,8,3,4
22:22:41,81,12,3,3
22:23:49,81,19,3,2
22:23:59,81,20,3,3
22:24:09,81,21,3,4
22:24:18,81,22,3,2
22:24:38,81,24,3,4
22:24:57,81,26,3,4
22:25:07,81,27,3,3
22:25:17,81,28,3,3
22:26:35,81,36,3,4
22:26:55,81,38,3,10
22:27:43,81,43,3,3
22:29:01,81,51,3,4
22:29:11,81,52,3,0
22:29:21,81,53,3,4
22:29:41,81,55,3,3
22:21:23,82,4,2,2
22:22:50,82,13,2,1
22:23:00,82,14,2,1
22:21:04,88,2,2,10
22:21:02,89,2,1,2
22:21:12,89,3,2,2
22:21:04,91,2,2,1
22:21:14,92,3,1,2
22:21:23,92,4,1,2
22:21:33,92,5,1,0
22:21:43,92,6,1,2
22:21:53,92,7,1,2
22:22:03,92,8,1,3
22:22:12,92,9,1,2
22:22:22,92,10,1,0
22:22:32,92,11,1,3
22:22:42,92,12,1,2
22:22:51,92,13,1,1
22:23:01,92,14,1,3
22:23:21,92,16,2,2
22:23:30,92,17,2,2
22:23:40,92,18,2,3
22:23:50,92,19,2,2
22:24:00,92,20,2,0
22:24:09,92,21,2,1
22:24:19,92,22,2,2
22:24:29,92,23,2,2
22:24:39,92,24,2,2
22:24:58,92,26,2,2
22:25:08,92,27,2,4
22:25:18,92,28,2,4
22:25:28,92,29,2,3
22:25:37,92,30,2,2
22:25:47,92,31,2,1
22:25:57,92,32,2,0
22:26:07,92,33,2,2
22:26:16,92,34,2,3
22:26:26,92,35,2,2
22:26:36,92,36,2,3
22:26:46,92,37,2,2
22:26:55,92,38,2,3
22:27:05,92,39,2,3
22:27:15,92,40,2,3
22:27:25,92,41,2,2
22:27:44,92,43,2,3
22:27:54,92,44,2,2
22:28:04,92,45,2,5
22:28:14,92,46,2,3
22:28:23,92,47,2,2
22:28:33,92,48,2,2
22:28:43,92,49,2,2
22:28:53,92,50,2,3
22:29:02,92,51,2,2
22:29:12,92,52,2,3
22:29:22,92,53,2,4
22:29:32,92,54,2,2
22:29:41,92,55,2,5
22:29:51,92,56,2,1
22:30:01,92,57,2,2
22:30:11,92,58,2,3
